"plot_ID","LAT","LON"
"18_25_10211",38.276908,-86.455493
"18_117_10211",38.463327,-86.422512
"18_93_10208",38.977565,-86.331216
"18_13_1113",39.060869,-86.133244
"18_123_10208",37.982481,-86.582047
"18_13_20056",39.07373,-86.210851
"39_111_152",39.61119,-81.08316
"39_111_153",39.61118,-81.19428
"18_13_10210",39.077363,-86.089289
"18_25_20209",38.241795,-86.552222
"18_25_10222",38.139085,-86.438087
"18_117_10229",38.462871,-86.583523
"39_153_61",41.27783,-81.58318
"39_153_66",41.22228,-81.5554
"39_5_9003",40.810432,-82.280876
"39_35_9001",41.452638,-81.672798
"18_79_20035",38.899872,-85.79278
"39_133_57",41.16672,-81.16649
"18_25_20014",38.252567,-86.518792
"18_127_20048",41.619756,-87.220515
"39_123_9003",41.540145,-83.055126
"18_125_10216",38.33951,-87.14007
"18_101_10208",38.891847,-86.80198
"39_95_9002",41.573449,-83.745973
"18_117_1130",38.398237,-86.560772
"18_93_22004",38.877997,-86.681529
"1_7_18",32.89824,-87.083562
"18_127_20134",41.66123,-87.000518
"18_5_20068",39.276219,-86.037808
"1_15_30",33.729154,-85.898698
"18_123_22024",38.067387,-86.616869
"18_123_22022",37.92765,-86.644527
"18_25_20200",38.149438,-86.426515
"1_59_75",34.346841,-87.64823
"1_89_20",34.621982,-86.735205
"1_29_9",33.869688,-85.545448
"1_63_14",32.848054,-88.149739
"18_127_20066",41.642547,-87.113199
"18_123_10209",38.042131,-86.539384
"18_13_10203",39.084371,-86.318294
"18_117_10210",38.653315,-86.605309
"18_101_10206",38.611813,-86.824362
"18_71_10212",38.992248,-86.20489
"18_5_20041",39.314383,-86.0119
"18_25_20203",38.288652,-86.618809
"18_123_20064",38.175673,-86.641727
"18_123_22007",38.055556,-86.577076
"18_13_22005",39.069945,-86.322703
"1_7_33",32.947383,-87.39741
"18_93_20018",38.990247,-86.387488
"18_71_20071",38.99787,-86.270082
"18_117_20020",38.421632,-86.612381
"18_25_10210",38.30054,-86.614404
"18_123_1095",38.160504,-86.612334
"18_123_10206",38.197456,-86.66569
"18_69_20029",40.847894,-85.426744
"18_5_1137",39.285533,-86.026199
"39_163_9401",39.21172,-82.511532
"39_163_9601",39.21172,-82.511532
"39_79_9401",39.026221,-82.615884
"39_79_9601",39.026221,-82.615884
"39_87_164",38.61119,-82.58322
"39_87_165",38.63897,-82.63877
"39_87_166",38.66675,-82.66655
"39_87_167",38.7223,-82.611
"39_87_168",38.63897,-82.58322
"39_87_169",38.75008,-82.611
"39_127_4165",39.575522,-82.153233
"39_87_1472",38.658549,-82.610231
"39_165_3548",39.488124,-84.053991
"39_115_9401",39.610066,-81.833178
"39_115_9601",39.610066,-81.833178
"39_73_152",39.47229,-82.19431
"39_73_153",39.47229,-82.24987
"39_73_154",39.47229,-82.16654
"39_73_155",39.52785,-82.24987
"39_73_156",39.47229,-82.30543
"39_73_9601",39.511636,-82.453879
"39_133_5732",41.186725,-81.164981
"39_47_7003",39.630109,-83.271567
"39_43_1882",41.368242,-82.692172
"39_87_8383",38.713562,-82.605635
"39_87_12789",38.641386,-82.560709
"39_73_12472",39.547609,-82.237929
"39_167_14073",39.46192,-81.179558
"39_111_13152",39.608766,-81.110884
"39_167_14052",39.47543,-81.338954
"39_73_47",39.565521,-82.265308
"39_111_4162",39.607135,-81.175701
"39_53_8375",38.846134,-82.538529
"39_53_5288",38.81427,-82.440905
"39_87_4550",38.823803,-82.642993
"39_87_1217",38.76664,-82.536898
"39_145_4036",38.752792,-82.692639
"39_87_2686",38.691051,-82.685664
"39_67_9001",40.29649,-81.102503
"39_87_266",38.671581,-82.751228
"39_53_612",38.799721,-82.53196
"39_87_638",38.636948,-82.581214
"39_87_595",38.744091,-82.570256
"39_127_629",39.564718,-82.158969
"39_87_192",38.644015,-82.419059
"39_111_7156",39.627984,-80.957114
"39_87_11220",38.581049,-82.609824
"39_9_8312",39.419027,-82.249812
"39_73_409",39.479537,-82.199423
"39_87_12775",38.663325,-82.64144
"39_9_11689",39.446516,-82.129428
"39_87_15693",38.743409,-82.599593
"39_87_12778",38.651749,-82.495779
"39_87_12785",38.604532,-82.509731
"39_167_14071",39.490571,-81.105426
"39_111_15730",39.586087,-81.226444
"39_127_2815",39.600749,-82.292386
"39_9_170",39.38896,-82.22209
"39_19_9001",40.576932,-81.091241
"39_153_3576",41.2176,-81.551278
"39_153_2079",41.270245,-81.564807
"39_145_9601",38.793329,-82.960461
"39_53_147",38.80563,-82.55544
"39_53_148",38.77786,-82.55544
"39_53_149",38.69452,-82.44432
"39_53_150",38.80563,-82.44432
"39_117_200",40.422434,-83.013414
"39_111_511",39.621655,-81.082368
"39_43_9002",41.388754,-82.647824
"39_31_9001",40.303628,-81.905971
"39_87_4677",38.622011,-82.585864
"39_9_171",39.41674,-82.16654
"39_9_172",39.38896,-82.22209
"39_9_9601",39.368234,-82.010133
"39_127_117",39.61118,-82.19431
"39_127_118",39.61118,-82.02764
"39_127_119",39.5834,-82.05542
"39_127_9601",39.740299,-82.248369
"39_73_150",39.47229,-82.22209
"39_73_151",39.47229,-82.16654
"39_145_250",38.69452,-82.69433
"39_145_251",38.75008,-82.69433
"39_155_4898",41.334432,-80.772294
"39_73_3185",39.484068,-82.245906
"39_127_1162",39.618854,-82.048042
"39_111_3424",39.658368,-81.155217
"39_87_2263",38.765188,-82.562764
"39_5_3883",40.628045,-82.33122
"18_79_20030",38.982615,-85.469255
"39_167_3191",39.486045,-81.160293
"39_87_8391",38.647279,-82.718458
"39_87_8054",38.584671,-82.569473
"39_127_8297",39.626782,-82.246273
"39_87_8394",38.576339,-82.754065
"39_73_8306",39.559968,-82.255969
"39_167_14076",39.395025,-81.257562
"39_127_13404",39.578223,-82.201146
"39_87_12792",38.592808,-82.625619
"39_9_11693",39.414903,-82.216897
"39_53_2780",38.70736,-82.418189
"39_87_2049",38.729374,-82.523451
"39_145_3125",38.714406,-82.770116
"1_27_25",33.44097,-85.815848
"1_71_71",34.628715,-86.116348
"18_77_20056",38.833931,-85.378342
"39_121_5629",39.597671,-81.295411
"39_123_2403",41.472505,-83.076584
"39_153_515",41.243425,-81.585733
"39_87_614",38.632298,-82.544104
"39_87_571",38.704834,-82.635558
"39_167_3819",39.432901,-81.189539
"39_133_446",41.152569,-81.123281
"39_53_361",38.779424,-82.471143
"39_111_2349",39.642756,-81.143399
"39_167_2121",39.56743,-81.176514
"18_101_20102",38.745472,-86.823605
"18_137_10224",39.029001,-85.422907
"18_13_20011",39.095955,-86.361266
"18_71_22006",38.932149,-85.802719
"39_127_5693",39.591216,-82.04411
"39_9_3039",39.445259,-82.157386
"39_111_3233",39.659603,-81.240173
"39_127_2746",39.619344,-82.267624
"39_145_4087",38.709957,-82.700962
"39_121_2759",39.602068,-81.292621
"39_167_5386",39.495991,-81.178928
"39_167_4441",39.421669,-81.224553
"39_53_2769",38.839745,-82.506125
"39_87_1349",38.747089,-82.500639
"39_87_3919",38.591686,-82.611601
"39_111_4244",39.593204,-81.164617
"39_9_3882",39.461308,-82.208053
"39_163_8639",39.316987,-82.593341
"39_73_8322",39.40447,-82.380616
"39_87_8381",38.676982,-82.562007
"39_73_8307",39.505961,-82.278603
"39_87_12767",38.776391,-82.564189
"39_127_13401",39.618488,-82.048905
"39_167_14051",39.462043,-81.290137
"39_145_13694",38.739391,-82.752728
"39_87_12793",38.628014,-82.662002
"39_127_3899",39.627517,-82.186337
"39_99_2006",41.039021,-80.996805
"39_9_1903",39.441477,-82.172964
"39_89_2144",40.059888,-82.19562
"39_111_1027",39.725098,-81.165671
"1_79_54",34.367268,-87.346264
"1_79_45",34.368888,-87.134207
"1_79_22",34.329203,-87.202782
"1_133_23",34.27889,-87.236983
"1_133_45",34.149833,-87.231393
"1_133_12",34.118969,-87.286115
"39_87_4283",38.715627,-82.494163
"39_9_2639",39.547899,-82.068146
"39_73_2719",39.478113,-82.23706
"39_87_2361",38.779969,-82.595909
"39_87_927",38.652516,-82.622954
"39_111_3729",39.697877,-81.161281
"39_111_1202",39.591217,-81.021472
"39_127_2058",39.562021,-82.226922
"39_167_1630",39.445735,-81.252473
"39_87_3339",38.83096,-82.592726
"39_87_6997",38.761239,-82.619289
"39_87_5020",38.68154,-82.662518
"34_5_121",39.72234,-74.41626
"34_5_122",39.69456,-74.44404
"34_5_123",39.72234,-74.38848
"18_25_20030",38.383865,-86.645458
"18_25_20025",38.294489,-86.669302
"18_25_22008",38.219053,-86.555255
"18_123_20028",37.987463,-86.647524
"34_37_31",41.08343,-74.97184
"19_153_20023",41.697842,-93.693947
"34_27_13",40.77788,-74.52738
"34_29_32",39.75012,-74.19403
"34_29_103",40.02789,-74.44404
"34_29_113",39.66679,-74.27736
"34_29_125",40.02789,-74.38848
"34_37_79",41.11121,-74.8885
"34_37_80",41.13898,-74.91628
"34_37_81",41.25009,-74.55516
"19_97_20123",42.173086,-90.272218
"34_37_93",41.08343,-74.94406
"34_37_120",41.27787,-74.80517
"34_41_21",41.02787,-75.0274
"19_153_20021",41.742363,-93.714016
"34_1_113",39.44456,-74.58293
"34_5_151",39.69456,-74.38848
"34_5_157",40.00011,-74.63849
"19_117_20046",40.900418,-93.139384
"19_7_20068",40.891219,-92.975264
"34_25_75",40.27789,-74.1107
"34_25_77",40.27789,-74.13848
"34_25_51",40.25011,-74.16625
"19_49_20048",41.807836,-93.830591
"34_27_42",40.80566,-74.36071
"19_15_20104",41.981485,-93.899786
"39_9_3333",39.41191,-82.20648
"39_53_3860",38.785568,-82.456629
"39_87_5651",38.721822,-82.671103
"39_167_2541",39.538132,-81.099257
"39_87_11243",38.659366,-82.538487
"39_111_13153",39.610462,-81.159682
"39_73_12469",39.486558,-82.181022
