aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,LAT,LON,plot_ID,system:index
466.77777777777777,0.08892921960072596,100.84615384615384,506.0,66.5,4.506756756756757,1153.0,1449.6666666666667,0.004878048780487805,-3.8333333333333335,114.25,619.6666666666666,34.5,348.625,46.32438,-90.512,1,0
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.5531,-88.8546,2,1
466.77777777777777,0.08892921960072596,100.84615384615384,506.0,66.5,4.506756756756757,1153.0,1449.6666666666667,0.004878048780487805,-3.8333333333333335,114.25,619.6666666666666,34.5,348.625,46.42763,-90.465,3,2
531.3666666666667,0.15145985401459855,119.22916666666666,588.0,60.0,4.448,1255.452380952381,1513.0714285714287,0.0,2.4,136.25,647.25,42.0,314.3333333333333,45.59293,-91.3031,4,3
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.16661,-88.8777,5,4
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.16661,-88.8777,6,5
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.84459,-88.2386,7,6
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.01185,-88.911,8,7
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.41548,-88.3949,9,8
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.55642,-88.5529,10,9
456.75,0.035842293906810034,106.8,500.6666666666667,63.0,4.468085106382978,1022.5,1465.3636363636363,0.0,-3.6666666666666665,120.6,649.0833333333333,34.0,322.6,45.09259,-89.087,11,10
464.1904761904762,0.0627177700348432,83.45454545454545,491.0,68.5,4.416107382550336,1227.1304347826087,1429.3333333333333,0.0,-9.6,114.28571428571429,618.6,33.0,364.2631578947368,46.1985,-89.8741,12,11
594.25,0.16597510373443983,98.15384615384616,721.4,69.61965811965811,4.460122699386503,645.2857142857143,1589.8333333333333,0.02127659574468085,38.7,156.66666666666666,824.2727272727273,46.0,418.57142857142856,42.95704,-88.1312,13,12
465.3333333333333,0.04744525547445255,106.88888888888889,496.08333333333337,62.5,3.55297648211661,1181.5714285714287,1430.5714285714287,0.00980392156862745,-13.333333333333334,112.71428571428571,629.0,32.0,416.42857142857144,46.04252,-88.9472,14,13
456.75,0.035842293906810034,106.8,500.6666666666667,63.0,4.468085106382978,1022.5,1465.3636363636363,0.0,-3.6666666666666665,120.6,649.0833333333333,34.0,322.6,45.55476,-89.1037,15,14
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.89528,-88.6706,16,15
483.25,0.03697183098591549,116.9,516.0,62.0,4.492647058823529,1066.142857142857,1475.2,0.0,-1.5,122.57142857142857,642.0,35.0,320.53333333333336,45.19423,-90.6705,17,16
483.25,0.03697183098591549,116.9,516.0,62.0,4.492647058823529,1066.142857142857,1475.2,0.0,-1.5,122.57142857142857,642.0,35.0,320.53333333333336,45.48967,-90.5473,18,17
483.25,0.03697183098591549,116.9,516.0,62.0,4.492647058823529,1066.142857142857,1475.2,0.0,-1.5,122.57142857142857,642.0,35.0,320.53333333333336,45.88352,-90.582,19,18
466.77777777777777,0.08892921960072596,100.84615384615384,506.0,66.5,4.506756756756757,1153.0,1449.6666666666667,0.004878048780487805,-3.8333333333333335,114.25,619.6666666666666,34.5,348.625,46.19903,-90.4756,20,19
531.3666666666667,0.15145985401459855,119.22916666666666,588.0,60.0,4.448,1255.452380952381,1513.0714285714287,0.0,2.4,136.25,647.25,42.0,314.3333333333333,45.50745,-91.7813,21,20
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.34248,-88.6856,22,21
491.42857142857144,0.12267657992565056,131.53846153846155,528.9166666666667,60.0,3.0,987.0,1474.357142857143,0.02127659574468085,-6.0,124.6,667.0,35.0,362.09090909090907,45.17299,-88.9442,23,22
458.0,0.09846827133479212,123.42857142857143,627.0,44.0,2.0,522.8181818181819,1543.8,0.0,6.555555555555555,128.28571428571428,642.6666666666666,40.0,424.4375,46.6213,-95.9922,24,23
458.0,0.09846827133479212,123.42857142857143,627.0,44.0,2.0,522.8181818181819,1543.8,0.0,6.555555555555555,128.28571428571428,642.6666666666666,40.0,424.4375,46.65308,-95.8196,25,24
