,plot_ID,LON,LAT

0,37_39_63,-84.18005540237462,35.13747657227762

1,37_43_9,-83.6515550456086,35.05736502121524

2,37_199_11,-82.23060609337615,35.79550115786445

3,37_21_56,-82.35132036250923,35.806929523648265

4,37_23_5,-81.81042213308696,35.89706009008938

5,37_75_24,-83.96682701038043,35.284454825552146

6,37_75_12,-83.91129312064155,35.37430611228616

7,37_75_17,-83.73554022566395,35.3741467539187

8,37_111_56,-82.121976620442,35.715166198374305

9,37_113_31,-83.20373745386615,35.10116301867869

10,37_113_42,-83.4703939021281,35.0459935902227

11,37_113_20,-83.41208265913369,35.150209315887096

12,37_113_78,-83.57622425393465,35.16046165948081

13,37_115_35,-82.63266395673867,36.016071453266726

14,37_173_81,-83.50136873150825,35.49337832396549

15,37_173_83,-83.65472157258208,35.493367819392645

16,37_173_84,-83.8026967451902,35.488549461331836

17,37_173_87,-83.27300829391646,35.60283487289125

18,37_173_88,-83.42009490742882,35.59848183316149

19,37_39_1,-84.13937614850771,35.222003080565926

20,37_39_28,-84.11761054190052,35.149282455454056

21,37_39_57,-84.16106062038136,35.072550717592236

22,37_87_28,-82.9497234332334,35.455293167278604

23,37_99_10,-82.99094980648952,35.29873996606258

24,37_99_8,-83.02748655807015,35.22032132889485

25,37_21_4,-82.35635703647561,35.738559776070105

26,37_27_8,-81.59950644162156,35.99367625216255

27,37_87_37,-83.08650984144616,35.670455362153376

28,37_173_40,-83.35247366978228,35.336957826550254

29,37_113_40,-83.33115651882278,35.07997281435702

30,37_173_44,-83.45876829614406,35.53073273992013

31,37_21_2,-82.69014663695464,35.466462752039504

32,37_11_6,-81.78520234005948,36.07882833205721

33,37_27_45,-81.73451596525751,36.026156011204456

34,37_111_65,-81.9143101603976,35.898729648494836

35,37_99_58,-83.31799702555874,35.30819225089175

36,37_113_36,-83.25728301055548,35.0629427612396

37,37_113_3,-83.51212944765551,35.237945220287926

38,37_173_25,-83.35795110785776,35.623372222875005

39,37_173_48,-83.34299254371014,35.53313271708406

40,37_173_15,-83.5182874708815,35.53500195054541

41,37_173_65,-83.54902258161658,35.461672851620754

42,37_89_23,-82.64577899981383,35.4416681120334

43,37_175_48,-82.8517866594687,35.3063995705912

44,37_27_13,-81.54266149770018,35.94696104056953

45,37_199_10,-82.35020655038174,36.07091145048555

46,37_113_77,-83.45075701215329,35.30016658170933

47,37_173_75,-83.60336903052126,35.29450432168881

48,37_113_68,-83.66615402964673,35.236909298392405

49,37_113_16,-83.56113413886501,35.05208229326216

50,37_43_22,-83.68963709910905,35.13758620557507

51,37_43_15,-83.75787377260322,35.01081181151249

52,37_173_39,-83.67758433087067,35.52507540514734

53,37_111_40,-82.02456319199094,35.743259819025

54,37_173_64,-83.70656770166867,35.45340297271868

55,37_11_8,-82.011887800547,36.14119196552041

56,37_39_11,-83.79585527388171,35.22173996238245

57,37_99_17,-83.19480642704445,35.23380613070783

58,37_87_78,-83.117199717381,35.76589281188229

59,37_173_51,-83.19147164639654,35.6219297430927

